draw,location,best_strategy,best_reduction,baseline_score
0,Protected land,zoned_enforcement,2.664616714184664,5.6741922121342
0,Rural community,zoned_enforcement,3.7235645844601883,8.768368054953582
0,Suburban community,zoned_enforcement,6.4827492799097595,15.185553077911543
0,Urban community,zoned_enforcement,6.699074739147637,18.518233776359047
1,Protected land,zoned_enforcement,2.4788999503393807,5.495785831616285
1,Rural community,zoned_enforcement,3.553747793944712,8.429985403509438
1,Suburban community,zoned_enforcement,5.339849060308424,14.670608279932901
1,Urban community,zoned_enforcement,6.336870194902826,17.971399808424028
2,Protected land,adaptive_curfew,2.855338783223028,6.007357295578785
2,Rural community,adaptive_curfew,4.241000132768982,9.351939900894228
2,Suburban community,zoned_enforcement,6.82226728933421,16.35795406503859
2,Urban community,zoned_enforcement,8.43425539324121,20.05226349066242
3,Protected land,zoned_enforcement,2.2988676680234073,5.149037992919099
3,Rural community,zoned_enforcement,3.274331740190931,8.060851703625275
3,Suburban community,zoned_enforcement,5.502839171646,14.053068455083784
3,Urban community,zoned_enforcement,5.583304406400652,17.189395779017712
4,Protected land,zoned_enforcement,2.815948899405737,6.055620509658435
4,Rural community,zoned_enforcement,4.254847817730094,9.403959512105663
4,Suburban community,zoned_enforcement,6.954473076813779,16.41271321116261
4,Urban community,adaptive_curfew,8.285712119439292,20.044082867703263
5,Protected land,adaptive_curfew,2.4694361967308365,5.50307338791778
5,Rural community,zoned_enforcement,3.306729985002333,8.364576803802214
5,Suburban community,zoned_enforcement,5.865824101244108,14.348483891615022
5,Urban community,zoned_enforcement,6.259004545455854,17.595500078072305
6,Protected land,zoned_enforcement,2.9551607860247224,6.158140573295881
6,Rural community,zoned_enforcement,4.252668546529533,9.550681151144568
6,Suburban community,zoned_enforcement,7.7149094512762275,16.567863713178436
6,Urban community,zoned_enforcement,9.478808114424796,20.31091612293832
7,Protected land,zoned_enforcement,2.698092237058802,5.708370618331543
7,Rural community,zoned_enforcement,4.137026099340742,8.958961359810473
7,Suburban community,zoned_enforcement,6.328320662168972,15.723572147934876
7,Urban community,zoned_enforcement,7.667071752763922,19.253993795875477
8,Protected land,zoned_enforcement,2.628479770436393,5.667766793719758
8,Rural community,zoned_enforcement,3.6008280382521605,8.528833980802016
8,Suburban community,zoned_enforcement,5.815391853422849,14.564386989582555
8,Urban community,zoned_enforcement,6.460458506616483,17.92296688361627
9,Protected land,adaptive_curfew,2.304407135256387,5.3378128929689055
9,Rural community,zoned_enforcement,2.745417550317831,8.036180427236793
9,Suburban community,zoned_enforcement,4.620310323678563,13.73987835083596
9,Urban community,zoned_enforcement,5.4675992877640756,16.803524229563557
10,Protected land,zoned_enforcement,2.326649916636589,5.036432791363817
10,Rural community,zoned_enforcement,2.9133337206200265,7.806147906146086
10,Suburban community,zoned_enforcement,4.813363271604931,13.556506312337358
10,Urban community,zoned_enforcement,5.5451577827661165,16.713741278938194
11,Protected land,adaptive_curfew,2.6934524002776685,5.730395051760522
11,Rural community,zoned_enforcement,3.8816690866519963,8.881538721125812
11,Suburban community,zoned_enforcement,5.939585703120999,15.40944763610753
11,Urban community,zoned_enforcement,7.841038627373454,18.905594127230653
12,Protected land,adaptive_curfew,3.1770762954111254,6.402859869421318
12,Rural community,zoned_enforcement,4.44478297302245,9.633202817239358
12,Suburban community,zoned_enforcement,7.385860966131835,16.487620559423057
12,Urban community,zoned_enforcement,9.097295405291687,20.322951586766738
13,Protected land,zoned_enforcement,3.084495275085436,6.230819834031589
13,Rural community,zoned_enforcement,4.241996529674857,9.420330442912913
13,Suburban community,zoned_enforcement,6.84675102957004,16.063449314656182
13,Urban community,zoned_enforcement,8.235139392545369,19.60494421774147
14,Protected land,zoned_enforcement,2.4463713966839955,5.388904339321732
14,Rural community,zoned_enforcement,2.9317827334990625,8.111282390398404
14,Suburban community,zoned_enforcement,5.101302033933225,13.90979895511765
14,Urban community,zoned_enforcement,5.841551835781981,17.105895730529923
15,Protected land,zoned_enforcement,2.9390257243804907,6.117767073451033
15,Rural community,zoned_enforcement,4.152374727983994,9.286701862645632
15,Suburban community,zoned_enforcement,6.769445942703719,15.905399787662278
15,Urban community,zoned_enforcement,7.9239362296482625,19.537488654526147
16,Protected land,adaptive_curfew,2.9258152473519012,6.042627304365887
16,Rural community,zoned_enforcement,4.193447454856721,9.165378193227403
16,Suburban community,zoned_enforcement,6.864819011741746,15.811261501053309
16,Urban community,zoned_enforcement,7.94273591693592,19.470991115357357
