location,strategy,strategy_label,baseline_score,pressure,exposure,vulnerability,harm,service_loss,risk_score,risk_reduction,risk_level,input_provenance
Protected land,baseline,Baseline,5.6501302481325695,0.105,0.11560368794133136,0.575,0.06647212056626553,0.0,5.6501302481325695,0.0,low,synthetic_scenario_assumption
Protected land,shielded_warm,Shielded + warm LEDs,5.6501302481325695,0.0645,0.07268781410746705,0.575,0.04179549311179355,0.006000000000000005,3.6426169145024514,2.007513333630118,low,synthetic_scenario_assumption
Protected land,adaptive_curfew,Adaptive dimming + curfew,5.6501302481325695,0.051,0.05792463283494842,0.575,0.03330666388009534,0.021600000000000005,3.155066429808104,2.4950638183244656,low,synthetic_scenario_assumption
Protected land,zoned_enforcement,Zoned standards + enforcement,5.6501302481325695,0.05275,0.05985155878559634,0.575,0.034414646301717894,0.011999999999999997,3.105244935646021,2.5448853124865485,low,synthetic_scenario_assumption
Rural community,baseline,Baseline,8.626467525580443,0.21500000000000002,0.1812283093609337,0.5599999999999999,0.10148785324212287,0.0,8.626467525580443,0.0,low,synthetic_scenario_assumption
Rural community,shielded_warm,Shielded + warm LEDs,8.626467525580443,0.13025,0.11408343212939709,0.5599999999999999,0.06388672199246237,0.019000000000000017,5.715371369359302,2.9110961562211415,low,synthetic_scenario_assumption
Rural community,adaptive_curfew,Adaptive dimming + curfew,8.626467525580443,0.10575000000000001,0.09366610200471315,0.5599999999999999,0.052453017122639355,0.06840000000000002,5.484506455424346,3.141961070156097,low,synthetic_scenario_assumption
Rural community,zoned_enforcement,Zoned standards + enforcement,8.626467525580443,0.10625000000000001,0.09408744929644342,0.5599999999999999,0.05268897160600831,0.03799999999999999,5.048562586510705,3.5779049390697377,low,synthetic_scenario_assumption
Suburban community,baseline,Baseline,14.887994309956309,0.5325,0.3184597713359638,0.55,0.17515287423478013,0.0,14.887994309956309,0.0,low,synthetic_scenario_assumption
Suburban community,shielded_warm,Shielded + warm LEDs,14.887994309956309,0.32375,0.2079256378724026,0.55,0.11435910082982144,0.031000000000000028,10.185523570534823,4.702470739421486,low,synthetic_scenario_assumption
Suburban community,adaptive_curfew,Adaptive dimming + curfew,14.887994309956309,0.263375,0.17273483456474392,0.55,0.09500415901060917,0.11160000000000003,9.74935351590178,5.138640794054529,low,synthetic_scenario_assumption
Suburban community,zoned_enforcement,Zoned standards + enforcement,14.887994309956309,0.260625,0.17109522686121548,0.55,0.09410237477366852,0.061999999999999986,8.928701855761824,5.959292454194484,low,synthetic_scenario_assumption
Urban community,baseline,Baseline,18.252560083897546,0.825,0.39042909270369075,0.55,0.21473600098702994,0.0,18.252560083897546,0.0,low,synthetic_scenario_assumption
Urban community,shielded_warm,Shielded + warm LEDs,18.252560083897546,0.4995,0.25895950051192373,0.55,0.14242772528155806,0.04400000000000004,12.766356648932433,5.4862034349651125,low,synthetic_scenario_assumption
Urban community,adaptive_curfew,Adaptive dimming + curfew,18.252560083897546,0.411,0.2185467876916225,0.55,0.12020073323039239,0.15840000000000004,12.593062324583354,5.659497759314192,low,synthetic_scenario_assumption
Urban community,zoned_enforcement,Zoned standards + enforcement,18.252560083897546,0.40325,0.21490456865795637,0.55,0.11819751276187601,0.08799999999999998,11.366788584759462,6.885771499138084,low,synthetic_scenario_assumption
