artifact,type,predicted_SiO2,predicted_Na2O,predicted_K2O,predicted_CaO,predicted_MgO,predicted_Al2O3,predicted_Fe2O3,predicted_CuO,predicted_PbO,predicted_BaO,predicted_P2O5,predicted_SrO,predicted_SnO2,predicted_SO2
02,lead-barium,67.26674316163866,0.23328328873296636,1.052065385748458,0.780388923160044,1.0859078622970133,7.724973734545254,1.3350986031986298,0.15949442393271238,19.574582024051708,0.08196362266258882,0.4447005642265747,0.11252076711368603,0.08120020689239096,0.06707743179929436
07,high-potassium,74.68678540500778,0.299559015928753,1.8521605326192736,6.5068307393772855,0.5227416343364596,7.738012878157585,0.8939120437726081,4.4558405198624556,0.25535646887046703,0.25059754775129606,2.1213985899365104,0.09469116075191723,0.15226177855687253,0.16985168507071327
08,lead-barium,30.540621023050175,0.309681964488544,0.1333977153807732,1.0447870271688,0.12251970122419892,2.2076591102620733,0.09556422807899953,5.536018535231564,16.88325903065301,33.80748839450424,0.9316548448267865,0.35701460011734304,0.10779271727472997,7.922541107738771
09,high-potassium,74.24410877113091,0.29020474007230457,10.536637042175226,3.653694996287834,0.5064180747397857,4.999114201576902,1.6306123019738197,2.065718768464771,0.2473824980516049,0.2427721829117591,1.1795472817542774,0.09173425679730077,0.147507127208461,0.16454775685507247
10,high-potassium,74.99422809979872,0.28824135288892905,16.295885400387906,1.2274392926216406,0.5029918910147161,3.04259587265571,1.314057018600812,1.11034747519791,0.2457088257816588,0.24112970184032534,0.33631777354313874,0.09111362646566862,0.1465091641739996,0.1634345050288551
11,lead-barium,65.41675177510058,0.23399701323482586,0.22101338535077172,1.22955569207665,0.6863018477999683,3.809259143868962,0.07220873834066882,3.176617505530841,11.006466669751104,12.541645927576967,1.2272927026376867,0.2301583082394271,0.08144863693437945,0.06728265355717075
12,high-potassium,68.62768519391192,0.26978622984001116,16.801889518060534,3.9523904367351057,0.47078701427428016,5.150610692151225,1.3765293524127569,2.0483783825085573,0.229976917196866,0.22569097913932964,0.4708963360098579,0.0852799278273438,0.13712867582447696,0.1529703441077511
19,lead-barium,62.357489560988014,0.26170980751355877,0.11273336654496095,1.108766664020309,0.6160845000581521,5.461197796476915,1.083251599556925,2.4431862386698864,20.052260427806342,4.961232194977025,1.2480657597864244,0.1276762107730908,0.09109478279086734,0.07525109003753698
22,high-potassium,62.18002948575992,0.25040006958944977,11.388034647302502,8.429770295263888,2.77974846911969,11.422317367741629,1.536865395982175,0.631639437841649,0.21345135407471386,0.2094733927514112,0.6098649243201573,0.07915192660208627,0.1272749539126614,0.14197827973806465
26,lead-barium,28.79295647758357,0.30826561509567474,0.3311980156679678,0.9804468627821407,0.12195934988204049,1.6744131467726828,0.09512715924083436,5.7418936949218615,16.20829094997923,36.55070973193336,0.7546320979007174,0.41861895747447525,0.10729972069380238,7.914188220071643
