date,contest,word,reported,hard_share,expected_tries,difficulty
2022-01-07,202,slump,80630.0,0.01689197569142999,4.130000000000001,medium
2022-01-08,203,crank,101503.0,0.017368944760253392,4.220000000000001,medium
2022-01-09,204,gorge,91477.0,0.020912360484056102,4.64,hard
2022-01-10,205,query,107134.0,0.02092706330389979,4.43,hard
2022-01-11,206,drink,153880.0,0.019606186638939434,3.732673267326733,easy
2022-01-12,207,favor,137586.0,0.022335121305946826,4.57,hard
2022-01-13,208,abbey,132726.0,0.025202296460377017,4.606060606060606,hard
2022-01-14,209,tangy,169484.0,0.02351254395695169,4.369999999999999,hard
2022-01-15,210,panic,205880.0,0.022610258402953175,3.732673267326733,easy
2022-01-16,211,solar,209609.0,0.023639252131349323,3.82,easy
2022-01-17,212,shire,222197.0,0.025382880956988617,3.891089108910892,easy
2022-01-18,213,proxy,220950.0,0.028087802670287397,4.821782178217822,hard
2022-01-19,214,point,280622.0,0.02527955755429011,3.5050505050505047,easy
2022-01-20,215,robot,243964.0,0.027008083159810462,3.9108910891089117,easy
2022-01-21,216,prick,273727.0,0.027067114314627348,3.8686868686868694,easy
2022-01-22,217,wince,241489.0,0.02836568125256223,4.415841584158416,hard
2022-01-23,218,crimp,269929.0,0.02826669235243342,3.9600000000000004,easy
2022-01-24,219,knoll,258038.0,0.032231686805819296,4.71,hard
2022-01-25,220,sugar,276404.0,0.03150460919523596,4.040404040404041,medium
2022-01-26,221,whack,302348.0,0.03361358434651461,4.17,medium
2022-01-27,222,mount,331844.0,0.03450717807162402,3.858585858585859,easy
2022-01-28,223,perky,296968.0,0.037539398184316154,4.45,hard
2022-01-29,224,could,313220.0,0.037009130962262944,3.9306930693069315,easy
2022-01-30,225,wrung,294687.0,0.03910589880110083,4.349665033496651,hard
2022-01-31,226,light,341314.0,0.03910475398020591,4.1010101010101,medium
2022-02-01,227,those,351663.0,0.03869045080090883,3.67,easy
2022-02-02,228,moist,361908.0,0.03925030670778209,3.663366336633663,easy
2022-02-03,229,shard,358176.0,0.04078721075672295,4.257425742574258,medium
2022-02-04,230,pleat,359679.0,0.041183944572799634,3.920000000000001,easy
2022-02-05,231,aloft,319698.0,0.04287796608048846,4.198019801980198,medium
2022-02-06,232,skill,311018.0,0.04410034145933676,4.42,hard
2022-02-07,233,elder,288228.0,0.04628280389136378,4.71,hard
2022-02-08,234,frame,336236.0,0.045708966321274344,4.242424242424242,medium
2022-02-09,235,humor,305372.0,0.04534141964554707,4.180000000000001,medium
2022-02-10,236,pause,304830.0,0.04422136928779976,4.0200000000000005,medium
2022-02-11,237,ulcer,278826.0,0.038127721231162086,4.4,hard
2022-02-12,238,ultra,269885.0,0.034496174296459604,4.07,medium
2022-02-13,239,robin,277471.0,0.011709331786024485,3.960000000000001,easy
2022-02-14,240,cynic,261521.0,0.03954940521028904,4.1,medium
2022-02-15,241,aroma,287836.0,0.03593365666560124,4.1,medium
2022-02-16,242,caulk,289721.0,0.03707014679640067,4.34,medium
2022-02-17,243,shake,342003.0,0.03733008189986638,4.620000000000001,hard
2022-02-18,244,dodge,265238.0,0.03853143214773147,4.613861386138614,hard
2022-02-19,245,swill,282327.0,0.03981553305209916,5.079999999999998,hard
2022-02-20,246,tacit,273306.0,0.040591864064455224,4.306930693069307,medium
2022-02-21,247,other,278731.0,0.03905916457085864,4.0,easy
2022-02-22,248,thorn,306356.0,0.03856297901787463,3.505403494596505,easy
2022-02-23,249,trove,277576.0,0.0411094619131337,4.633663366336634,hard
2022-02-24,250,bloke,250674.0,0.04150809417809585,4.191919191919192,medium
2022-02-25,251,vivid,255907.0,0.04566893441758139,4.7,hard
2022-02-26,252,spill,248363.0,0.040613940079641496,4.09,medium
2022-02-27,253,chant,250413.0,0.04168313945362261,3.79,easy
2022-02-28,254,choke,251094.0,0.04190064278716337,3.84,easy
2022-03-01,255,rupee,240137.0,0.044045690584957754,4.38,hard
2022-03-02,256,nasty,257304.0,0.042024220377452355,4.0606060606060606,medium
2022-03-03,257,mourn,240018.0,0.04360089659942171,3.9000000000000004,easy
2022-03-04,258,ahead,203730.0,0.0461198645265793,4.227722772277228,medium
2022-03-05,259,brine,229895.0,0.04525979251397377,4.08910891089109,medium
2022-03-06,260,cloth,218595.0,0.04533955488460395,3.8217821782178216,easy
2022-03-07,261,hoard,218595.0,0.04493698392003477,3.8514851485148514,easy
2022-03-08,262,sweet,207473.0,0.0470760050705393,4.33,medium
2022-03-09,263,month,201799.0,0.04675444377821496,4.020000000000001,medium
2022-03-10,264,lapse,208884.0,0.04768196702476015,3.8897110288971106,easy
2022-03-11,265,watch,226349.0,0.054782658637767344,4.96,hard
2022-03-12,266,today,192049.0,0.04870111273685362,3.91,easy
2022-03-13,267,focus,179436.0,0.0498060589848191,4.1313131313131315,medium
2022-03-14,268,smelt,185406.0,0.05055391950638059,4.309669033096691,medium
2022-03-15,269,tease,202855.0,0.0494146064923221,3.647058823529412,easy
2022-03-16,270,cater,217856.0,0.05156617215041128,4.633663366336634,hard
2022-03-17,271,movie,169071.0,0.05232712883936334,4.363636363636363,hard
2022-03-18,272,saute,179830.0,0.051737752321637104,3.84,easy
2022-03-19,273,allow,156311.0,0.05447473306421173,4.316503316503316,medium
2022-03-20,274,renew,154987.0,0.05430778065257086,4.3127966872033126,medium
2022-03-21,275,their,173636.0,0.052984404155820224,3.5054034945965054,easy
2022-03-22,276,slosh,160161.0,0.05498841790448361,4.363296636703363,hard
2022-03-23,277,purge,156785.0,0.054565168861817136,4.207920792079208,medium
2022-03-24,278,chest,169066.0,0.05511457064105142,3.613861386138614,easy
2022-03-25,279,depot,150197.0,0.05700513325832074,3.9792878277726764,easy
2022-03-26,280,epoxy,149507.0,0.06271278267907188,4.60963903609639,hard
2022-03-27,281,nymph,165468.0,0.0600418207750139,4.634920634920634,hard
2022-03-28,282,found,173696.0,0.06110100405305822,4.712871287128714,hard
2022-03-29,283,shall,149070.0,0.05697994230898236,4.514796485203515,hard
2022-03-30,284,stove,158139.0,0.05892284635668621,4.615796384203616,hard
2022-03-31,285,lowly,135219.0,0.06263173074789785,4.9006039006039,hard
2022-04-01,286,snout,144648.0,0.061618549858967975,4.470000000000001,hard
2022-04-02,287,trope,155079.0,0.060066159828216587,3.62,easy
2022-04-03,288,fewer,124532.0,0.063686442038994,4.87961203879612,hard
2022-04-04,289,shawl,129651.0,0.06126447154283422,4.494596505403495,hard
2022-04-05,290,natal,121356.0,0.06346616566135997,4.56964303569643,hard
2022-04-06,291,comma,117856.0,0.0641460765680152,4.583803583803584,hard
2022-04-07,292,foray,117761.0,0.06432520104279006,4.6234036234036235,hard
2022-04-08,293,scare,141158.0,0.06382918431828165,4.09,medium
2022-04-09,294,stair,134210.0,0.06360926905595708,3.386138613861386,easy
2022-04-10,295,black,126241.0,0.06253119034228183,3.792079207920792,easy
2022-04-11,296,squad,109828.0,0.06588483811050005,4.353196646803354,hard
2022-04-12,297,royal,114907.0,0.06331206976076305,4.070707070707071,medium
2022-04-13,298,chunk,123255.0,0.06356740091679851,3.9099999999999997,easy
2022-04-14,299,mince,113448.0,0.06484027924687963,4.109689031096892,medium
2022-04-15,300,shame,129991.0,0.06555838481125617,4.1899999999999995,medium
2022-04-16,301,cheek,107987.0,0.06514673062498264,4.23967603239676,medium
2022-04-17,302,ample,106681.0,0.0656911727486619,4.272396727603272,medium
2022-04-18,303,flair,112383.0,0.06532126745148288,3.84,easy
2022-04-19,304,foyer,108899.0,0.07528076474531446,5.3025956974043025,hard
2022-04-20,305,cargo,102007.0,0.06662287882204163,4.269673032696731,medium
2022-04-21,306,oxide,97955.0,0.07105303455668419,4.712503712503712,hard
2022-04-22,307,plant,119232.0,0.06483997584541062,3.336996336996337,easy
2022-04-23,308,olive,95562.0,0.06783030911868734,4.0600000000000005,medium
2022-04-24,309,inert,97452.0,0.06919303862414317,4.019698030196981,easy
2022-04-25,310,askew,91548.0,0.07153624328221261,4.62963703629637,hard
2022-04-26,311,heist,103153.0,0.0662123253807451,3.6999999999999997,easy
2022-04-27,312,shown,98967.0,0.06632513868259117,4.0299969700030305,medium
2022-04-28,313,zesty,88974.0,0.07097579068042349,4.789621037896211,hard
